#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
BS_2X7JPRNN	EUR		0.0000	0.0000	0.0465	0.0000	0.9535	1.2128	11.1086	3.2821	6.8858	-2.0240	-1.2251	1.0537	-0.4828	4.5565	0.9649
BS_2ZKBYF95	EAS		1.0000	0.0000	0.0000	0.0000	0.0000	-6.2173	-39.6787	1.2122	5.5461	0.5676	0.1762	3.4682	-2.9702	3.3763	-0.6390
BS_2ZYFC11E	AFR		0.0000	0.8230	0.1770	0.0000	0.0000	28.8172	-8.0361	4.9525	0.6541	-2.7642	0.2074	2.3573	1.7039	3.9468	0.4636
BS_30WN9M3C	AMR		0.0002	0.0911	0.9085	0.0000	0.0001	13.6903	1.8266	5.0613	0.7892	-2.6770	-3.8989	1.5132	0.0501	5.3865	-0.7448
BS_318P54W7	EAS		0.9697	0.0000	0.0303	0.0000	0.0000	-2.5353	-13.4722	1.7399	7.8828	-0.7241	-5.3734	5.0493	-1.4531	4.8109	-0.3238
BS_31E3HZPZ	EUR		0.0000	0.0000	0.0203	0.0000	0.9797	0.3479	10.6830	4.4535	8.8624	-5.0381	1.8640	2.0368	-1.4916	3.1586	-1.2063
BS_345M1B93	EUR		0.0000	0.0000	0.0581	0.0000	0.9419	3.1736	9.6163	1.4802	8.4799	-0.4711	-4.4577	2.6101	-0.4079	5.5336	0.3150
BS_354DTKHE	SAS		0.0000	0.0000	0.0000	1.0000	0.0000	0.8343	-1.1253	-11.5001	-2.8781	-4.3329	-4.0821	3.1846	-3.8491	3.9605	-1.2314
BS_358WF90F	EUR		0.0000	0.0000	0.0201	0.0000	0.9799	1.4416	12.4008	4.8754	9.8922	-1.9755	-3.6191	1.2163	-1.0694	4.7606	-2.0309
BS_35M8GBJ4	EUR		0.0000	0.0000	0.0250	0.0000	0.9750	0.4380	11.9618	4.9036	8.3512	-2.8178	-0.7331	0.4548	-1.4621	4.2800	0.1674
BS_36PAKW92	EUR		0.0000	0.0000	0.0143	0.0000	0.9857	0.7552	11.7523	4.1332	10.5879	-1.3765	-1.3192	0.8424	-1.2580	4.8941	-1.1017
BS_370TKZ48	EUR		0.0000	0.0000	0.1394	0.0000	0.8606	6.0050	10.8728	0.0462	5.9406	-2.7082	-5.5287	1.2819	-1.3724	3.6840	-2.0182
