#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA11933	EUR	EUR	0.0000	0.0000	0.0037	0.0000	0.9963	0.7905	-12.9256	-4.1961	8.4805	1.0860	3.2992	-3.1842	-3.6104	6.6926	-0.8875
NA18933	AFR	AFR	0.0000	1.0000	0.0000	0.0000	0.0000	63.6632	18.7296	-0.9443	1.9992	1.1734	1.5395	-2.4432	1.1091	-0.8249	-2.0857
HG00357	EUR	EUR	0.0000	0.0000	0.0059	0.0000	0.9941	-1.9318	-9.9609	-4.4581	7.6607	10.2115	6.7666	-2.6467	4.4281	2.5312	1.3099
NA18611	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-7.7487	44.9586	-0.9465	7.5208	2.0066	-2.7018	-1.1988	0.5573	3.3286	-3.1547
HG01486	AMR	AMR	0.0000	0.0007	0.9993	0.0000	0.0000	-1.0283	2.0733	-13.2964	-10.0032	-3.1888	0.6073	-1.8836	0.4181	-2.5895	-5.2923
HG02666	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	62.7983	16.3174	1.1266	1.3453	-1.4280	-3.1030	-4.0819	0.2081	-0.3518	0.5062
HG00118	EUR	EUR	0.0000	0.0000	0.0190	0.0000	0.9810	0.7620	-13.1047	-5.6632	9.6438	5.5652	-0.3206	-2.7589	-0.2436	-1.6034	1.6139
HG03235	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.5303	2.3773	13.1724	-2.9674	3.2066	-2.2145	-6.0426	4.2284	1.5220	-0.1471
HG03455	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	62.3911	19.4816	-0.8461	2.3111	-0.1799	-3.2609	-5.7306	3.6447	3.2555	-1.9476
NA19064	EAS	EAS	0.9999	0.0000	0.0001	0.0000	0.0000	-7.4008	43.5504	-3.7535	5.9180	4.3918	-3.4299	-2.4957	0.3468	-0.1744	-2.7459
HG01597	EAS	EAS	1.0000	0.0000	0.0000	0.0000	0.0000	-6.2139	43.8469	-0.0244	8.7793	-5.4758	0.0797	-4.4701	3.2770	-1.8634	-2.2063
HG03452	AFR	AFR	0.0000	0.9999	0.0001	0.0000	0.0000	61.9345	17.5862	-0.1524	1.6094	0.0469	2.1050	-6.8155	2.0046	-1.8530	-2.9657
HG03718	SAS	SAS	0.0000	0.0000	0.0000	1.0000	0.0000	0.4062	8.4420	21.5108	-6.2295	2.7441	-0.7452	-3.5895	3.6591	0.7275	-3.2036
